run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om180__om270,112420.0,0.9998140247024091,0.0171676496043251,23.45732870310905,282.2906182643559,0.9892361289486362,0.37857313067848575,21.698656734604892,206.4402974965483,359.37490259907685,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om180__om90,112420.0,0.9998140247023876,0.017167649604322297,23.457328703109162,282.2906182644027,1.248131615015869,0.1390635465588359,23.74618518338837,38.021093427046694,509.317227485008,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om270__om0,112420.0,0.99981402470238,0.017167649604324004,23.45732870310908,282.2906182644133,1.2450165843964636,0.14682773638000618,19.707404318781073,50.54433348475913,507.4117211773303,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om270__om180,112420.0,0.9998140247023869,0.017167649604321263,23.4573287031091,282.2906182644058,1.1263574215850536,0.3157697221788291,27.551812186688394,172.12100025937468,436.6285481157489,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om270__om270,112420.0,0.999814024702378,0.017167649604332095,23.4573287031091,282.2906182644032,0.7222555286360657,0.3003535410137764,19.706721606925672,270.1287151547611,224.19922278920998,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om270__om90,112420.0,0.9998140247024049,0.01716764960432102,23.457328703109116,282.2906182643718,1.3721434513992417,0.19332564730615986,22.506822978628907,62.25978067156186,587.0797035586479,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om90__om0,112420.0,0.9998140247023738,0.017167649604326624,23.4573287031091,282.29061826442046,0.9438006278482834,0.26840689642508314,25.142777995714503,180.38918898517454,334.90234093910396,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om90__om180,112420.0,0.99981402470238,0.01716764960432399,23.45732870310908,282.2906182644133,1.207525599489252,0.11145811897825253,25.131055099851213,45.34374634586867,484.66572742517764,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om90__om270,112420.0,0.9998140247024049,0.01716764960432102,23.457328703109116,282.2906182643718,1.410300190119849,0.20025676329647332,26.19165480585636,111.82770440151188,611.7375466629107,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om90__om90,112420.0,0.999814024702396,0.017167649604330693,23.45732870310905,282.2906182643716,0.9013264611026607,0.13499541941307364,27.916762222172384,289.8813026271879,312.55105720113056,True
20260724_230314__rp0p25__vinf25__incm60__toff56210__Om0__om0,112420.0,0.9998140247023725,0.01716764960432582,23.45732870310903,282.2906182644249,1.9689159882484621,0.4450486208276562,21.815223233789716,94.1707987882006,1009.1101367094113,True
20260724_230314__rp0p25__vinf25__incm60__toff56210__Om0__om180,112420.0,0.9998140247023947,0.01716764960432828,23.457328703109063,282.2906182643766,0.7523264189482232,0.36126733920136866,25.973268089999262,257.3699024887038,238.34566625948702,True
20260724_230314__rp0p25__vinf25__incm60__toff56210__Om0__om270,112420.0,0.9998140247023862,0.017167649604320802,23.457328703108907,282.29061826441017,1.1170421399794708,0.07173626314782733,23.813875277575985,168.46516931753928,431.2232077836514,True
20260724_230314__rp0p25__vinf25__incm60__toff56210__Om0__om90,112420.0,0.9998140247023969,0.01716764960431328,23.45732870310889,282.2906182644037,1.1812249880724837,0.17922117597313902,29.253039630685475,95.99625723923917,468.9178108261398,True
20260724_230314__rp0p25__vinf25__incm60__toff56210__Om180__om0,112420.0,0.9998140247023858,0.01716764960432051,23.45732870310905,282.29061826441017,0.7454183787068396,0.3007875833899558,25.472318959323456,241.71496148057219,235.07039378564627,True
